hospital_name,doctor_name,total_revenue,doctor_rank
"and George Davidson Bell,","Alicia Salas",34886.70,1
"and Gibbs Drake, Kelley","David Thomas",41647.89,1
"and Gibbs Jones Garcia,","David Crawford DDS",22014.04,1
"and Gibbs, Reese Hamilton","Christopher Rogers",38126.97,1
"and Gibbs, Rivera Greene","Debra Collins",45540.88,1
"and Gibson Bishop Greer,","Sherri Greene",32163.09,1
"and Gibson Grant Lee,","Mark Curtis",45016.41,1
"and Gibson Jones Gomez,","Jane Brown",7635.06,1
"and Gibson Levine Thompson,","Joshua Mayer",5404.57,1
"and Gibson Norris Ortiz,","Kyle Mitchell Jr.",47074.46,1
"and Gibson Sons","Carly Flynn",43413.99,1
"and Gibson Wright Mueller,","Rebecca Ramos",30500.27,1
"and Gibson, Hoffman Hall","Mitchell Dean",18847.12,1
"and Gilbert Foster Gray,","Amy Bates",33738.35,1
"and Gilbert Walker Russell,","Donna Brown",3550.12,1
"and Gilbert, Lozano Simpson","Edwin Davis",20785.27,1
"and Giles Griffith Leonard,","Linda Brown",9426.96,1
"and Giles Sons","Jeanette Braun",15096.60,1
"and Giles, Lee Edwards","Shelby Reyes",32116.13,1
"and Giles, Wyatt Weaver","Miss Anna Horton",4089.18,1
"and Gill French Cox,","Stacy Zhang",48965.99,1
"and Gill, King Osborn","Jennifer Smith",74228.82,1
"and Gill, Ramos Anderson","Lawrence Brown",46892.88,1
"and Gill, Wilkerson Davis","Brianna Wheeler",18372.32,1
"and Gillespie Garcia Harper,","Karina Carr",16735.55,1
"and Gillespie Jennings, Hernandez","Bradley Simmons",4534.26,1
"and Gillespie Proctor Gay,","Jessica Hess",23349.31,1
"and Gillespie Rojas Knight,","Tommy Ellis",8315.87,1
"and Glass Pacheco Horn,","John Beard",23951.63,1
"and Glenn Walker Lucas,","Michael Marquez",16299.40,1
"and Glenn Williams Shannon,","James Collins",14581.89,1
"and Glenn, Jones Ramos","Todd Marshall",34883.70,1
"and Glover Brown Perkins,","Joseph Wright",30079.51,1
"and Glover Christensen, Jackson","Nicholas Obrien",41102.28,1
"and Golden Johnson, Burns","Lawrence Cross",7413.88,1
"and Golden Peters, Stone","Veronica Chandler",47551.64,1
"and Golden Sons","Robert Maldonado",8507.74,1
"and Gomez Douglas, Sanchez","Jamie Oconnell",47695.39,1
"and Gomez Gates Smith,","Carlos Herrera",4552.94,1
"and Gomez Johnson, Smith","Tracy Figueroa",18194.06,1
"and Gomez Jones Campbell,","Lisa Rose",9235.26,1
"and Gomez Lucas, Ramirez","Elizabeth Gordon",17807.25,1
"and Gomez Rogers, Green","Wesley Campbell",5649.97,1
"and Gomez Sons","Peter Martin DDS",24844.27,1
"and Gomez Sons","Amanda Holmes",19722.09,2
"and Gomez, Bridges Thornton","Michael Hill",23818.32,1
"and Gomez, Flores Dixon","Jaime Rowe",30654.64,1
"and Gomez, Hunt Carrillo","Gwendolyn Wilkerson",19925.17,1
"and Gomez, Williams Walker","Karen Petty",19724.19,1
"and Gonzales Adams Whitney,","Joan Davis",24616.22,1
"and Gonzales Bailey Allen,","Scott Thomas",37952.07,1
"and Gonzales Baker, Young","Daniel Johnston",21288.07,1
"and Gonzales Dunn, Camacho","Deborah Wise",35116.71,1
"and Gonzales Moses, Robinson","Daniel Duarte",22713.80,1
"and Gonzales Rocha, White","Richard Henry",31617.96,1
"and Gonzales Washington Moyer,","Crystal Wise",3654.10,1
"and Gonzales, Clark Johnson","Mrs. Maria Jefferson",4473.30,1
"and Gonzales, Strickland Savage","Michael Le",11663.31,1
"and Gonzalez Cohen, Mendoza","James King",11559.12,1
"and Gonzalez Davis Carroll,","Rachel Johnson",21060.41,1
"and Gonzalez Fischer, King","Mrs. Kelly Reynolds",59448.08,1
"and Gonzalez Ford Potter,","Jessica Mercer",45980.19,1
"and Gonzalez Garcia, Ramos","Evan Cannon",79295.40,1
"and Gonzalez Gray, Bennett","Eric Stuart",162.20,1
"and Gonzalez Gray, Boyer","Micheal Mckenzie",40149.83,1
"and Gonzalez Huynh, Fleming","Stephanie Smith",15943.94,1
"and Gonzalez Jenkins, Stone","Billy Cook",41531.40,1
"and Gonzalez Key Lara,","Matthew Mitchell",30699.16,1
"and Gonzalez Moore, Brooks","Darlene Prince",25496.98,1
"and Gonzalez Moreno Anderson,","Nicholas Wong",48327.46,1
"and Gonzalez Noble, Cabrera","Joel Jones",38987.89,1
"and Gonzalez Perez Torres,","Kevin Quinn",3339.71,1
"and Gonzalez Smith, Arnold","Adrian Swanson",38026.85,1
"and Gonzalez Smith, Miller","Chris Gomez",3970.76,1
"and Gonzalez Sons","Robert Barrett",43508.98,1
"and Gonzalez Sons","Vanessa Cook",38832.20,2
"and Gonzalez Sons","Dana Lawson",29650.39,3
"and Gonzalez Thomas, Wall","Garrett Wyatt",24382.48,1
"and Gonzalez Wilson Cooper,","Melissa Moore",41843.72,1
"and Gonzalez, James Kelly","Richard Singh",15328.96,1
"and Gonzalez, Rogers Jackson","Robert Torres",24478.49,1
"and Gonzalez, Thomas Cooper","Kimberly Cole",70906.54,1
"and Gonzalez, Warren Moore","Kevin Johnson",48747.55,1
"and Good Willis Reid,","Tammy Rodriguez",50289.38,1
"and Goodman Diaz Thomas,","Annette Rush",46647.74,1
"and Goodwin Cruz, Johnson","Kathryn Little",12770.28,1
"and Goodwin, Hernandez Andrade","Chris Green",82615.80,1
"and Gordon Bishop, Robertson","Jeremy Caldwell",13421.84,1
"and Gordon Bowers Ryan,","Kathleen Lewis",21528.85,1
"and Gordon Brooks Miller,","Robert Nichols",27562.56,1
"and Gordon Clarke Simmons,","Katherine Henson",1604.93,1
"and Gordon Lee Yang,","Maria Hernandez",16964.06,1
"and Gordon Patterson, Swanson","Audrey Zimmerman DDS",13444.11,1
"and Gordon Sanchez Martinez,","David Martinez",29195.01,1
"and Gordon Taylor, Lopez","Kevin White",29742.69,1
"and Gordon, Hamilton Hunter","Taylor Burton",20077.27,1
"and Gordon, Nicholson Blair","Rhonda Hunter",71669.68,1
"and Gordon, Watkins Williams","Benjamin Phillips",21791.99,1
"and Gordon, Wilkins Gardner","Renee Davis",34480.12,1
"and Gould Lopez Watts,","Susan Newton",6147.97,1
"and Graham Bowers, Stanley","Christian Preston",4399.87,1
"and Graham Flores, Carrillo","Nicholas Reynolds",43114.42,1
"and Graham Hart, Espinoza","Brenda Pineda",22300.64,1
"and Graham Higgins, Bell","Christine King",22281.77,1
"and Graham Jones Rojas,","Jon Valdez",3497.02,1
"and Graham Martinez Spence,","Melinda Wright",2953.34,1
"and Graham Moon Kelley,","Deborah Douglas",37012.94,1
"and Graham Morris, Gonzales","Michael Colon",30655.48,1
"and Graham, Church Ray","Beth White",17564.58,1
"and Graham, Porter Reynolds","Tracy Campos",72232.42,1
"and Grant Hamilton Edwards,","Ryan Hall",2924.47,1
"and Grant Johnson, Houston","Julie Scott",38878.30,1
"and Grant Leonard, Jones","Christopher Cruz",13234.53,1
"and Grant Morales, Wheeler","Heather Nunez",22447.41,1
"and Grant Moses, Carpenter","David Lee MD",15119.42,1
"and Grant Sons","Cynthia Benson",5532.93,1
"and Grant Wilkins Alexander,","Mark Smith",36054.54,1
"and Graves Woods Steele,","Carmen Holmes",30171.79,1
"and Graves, Humphrey Bailey","Lauren Cameron",47031.64,1
"and Graves, Roth Jackson","Ryan Allen",48075.74,1
"and Gray Fleming Young,","Monique Patterson",61742.84,1
"and Gray King, Mccoy","Melissa Roth",26754.10,1
"and Gray Reynolds Fisher,","Victoria Hunt",44319.58,1
"and Gray Rogers Flores,","Todd Zhang",24903.62,1
"and Gray Smith, Jennings","Todd Evans",3980.54,1
"and Gray Sons","Jennifer Aguilar",47517.18,1
"and Gray Sons","Christopher Campbell",47094.52,2
"and Gray Sons","Tyler Rojas",31434.02,3
"and Gray Williams Wilkinson,","Jeffery Barnes",2446.12,1
"and Gray, Patton Silva","Robert Gardner",8192.97,1
"and Gray, Wright Barnes","Amanda Barry MD",43144.82,1
"and Green Burnett, Marquez","Michael Bennett",32452.12,1
"and Green Cooper Davis,","Karen Andrade",39537.11,1
"and Green Garza Ware,","Katie Silva",14551.88,1
"and Green Guerrero Wang,","Katrina Jensen",34056.66,1
"and Green Jones, Johnson","Ashley Carter",25559.99,1
"and Green Klein Woods,","Diana Cameron",1985.92,1
"and Green Martin Padilla,","Mark Martin",23325.52,1
"and Green Miller Love,","Adam Smith",16470.95,1
"and Green Patton, Johnson","Andrea Robinson",21281.64,1
"and Green Powell, Wood","Jessica Nixon",26692.68,1
"and Green Russell Smith,","Tony Baker",1640.42,1
"and Green Sons","Jason Fernandez",45591.01,1
"and Green Sons","Scott Schmidt",8474.54,2
"and Green Williams Simpson,","Jessica Reed",17214.05,1
"and Green, Kane Hammond","Michael Ward",25012.64,1
"and Greene Hall, Bennett","Courtney Avery",32004.82,1
"and Greene Hicks, Oliver","Timothy Bennett",16987.35,1
"and Greene Zavala, Luna","Connie Wiley",13211.56,1
"and Greene, Love Gonzalez","Jordan Haney",63691.12,1
"and Greene, Rodriguez Wu","Marcia Drake",46534.62,1
"and Greene, Yates Robinson","Samantha Mcclure",30875.01,1
"and Greer Hall Harrison,","Kerri Freeman",16985.49,1
"and Greer, Cooper Parks","Elizabeth Quinn",42491.54,1
"and Greer, Dalton Williams","Joseph Howell",1499.05,1
"and Gregory Sons","Robert Hester",28404.88,1
"and Gregory Williams Park,","Morgan Berry",22467.65,1
"and Griffin Lindsey Page,","Joy Dominguez MD",49936.52,1
"and Griffin Lopez Hanson,","Ronald Washington",5154.26,1
"and Griffin Mueller, Perez","Brittney Campbell",32010.14,1
"and Griffin Sons","Tony Ford",7338.26,1
"and Griffin Thomas, Bennett","Zachary Cole",40721.77,1
"and Griffin Vaughn Berry,","Jeff Yates",32577.64,1
"and Griffin, Garcia Carney","James Washington",5922.10,1
"and Griffin, Gilbert Murphy","Melissa Carter",10539.25,1
"and Griffith Pratt, Simpson","Jaime Lewis",7349.45,1
"and Griffith Smith Ferguson,","Tammy Andrews",34832.83,1
"and Griffith Sons","Pamela Li",36458.36,1
"and Griffith Sons","Kimberly Jackson",19196.66,2
"and Griffith, Ray Santana","Sydney Baker",69809.96,1
"and Grimes Bishop, Cummings","Matthew Blackburn",5353.71,1
"and Grimes Reyes, Lee","Jean Ryan",24396.05,1
"and Grimes Sons","Jack Adams",22284.09,1
"and Gross Sons","Tracy Shelton",12519.66,1
"and Gross Sons","Felicia Miller",3089.32,2
"and Gross, Coleman Gonzales","Michael Ramirez",2674.74,1
"and Gross, Herrera Clark","Sara Parker",7077.01,1
"and Guerrero Arellano, Garcia","Diana Savage",42599.72,1
"and Guerrero Calhoun Trevino,","Anthony Perez",20713.97,1
"and Guerrero Rose, Johnson","Maria Moore",8483.43,1
"and Guerrero Smith, Schmidt","Eric Juarez",43342.48,1
"and Guerrero, Lin Rodriguez","Craig Elliott",26447.36,1
"and Gutierrez Carlson Jenkins,","James Preston",40043.92,1
"and Gutierrez Chambers Johnson,","Derek Kim",45703.87,1
"and Gutierrez Dennis, Carpenter","Christopher Bailey",29615.21,1
"and Gutierrez King, Evans","Cindy Barnes",13945.91,1
"and Gutierrez Pitts Hanna,","Linda Miller",48737.60,1
"and Gutierrez Sons","Christopher Miller",48501.79,1
"and Gutierrez Sons","Robert Hays",34462.65,2
"and Gutierrez Sons","Margaret Henderson",21840.04,3
"and Gutierrez, Castro Morris","Paul Gonzalez",9544.22,1
"and Gutierrez, Fischer Hunter","Sharon Aguilar",16524.43,1
"and Gutierrez, Gonzales Mathis","Catherine Gregory",10236.27,1
"and Gutierrez, Guerrero Moore","Emily Simmons",46544.52,1
"and Gutierrez, Hall Diaz","Denise Farmer",23956.83,1
"and Guzman Bell Sanchez,","Tyler Montes",41020.22,1
"and Guzman Sanford, Jordan","Marissa Harmon",37920.47,1
"and Guzman Snyder Rose,","Amber Wilson",47222.39,1
"and Guzman, Jones Nguyen","Ebony Salazar",22533.97,1
"and Guzman, Mann Gray","Sharon Higgins",27543.80,1
"and Haas Hernandez, Hines","Jerry Young",33332.76,1
"and Haas Johnson Fowler,","Caleb Bates",11344.87,1
"and Hale Martin Lang,","Sharon Eaton",6021.46,1
"and Hale, Jefferson Hoffman","Erik Garcia",40868.80,1
"and Hale, Johnson Rogers","Mr. Richard Buchanan",8011.07,1
"and Hale, Long Khan","Julie Smith",27519.86,1
"and Hale, Stewart Mullen","Dustin Kelley",18071.56,1
"and Haley Gardner Riggs,","Kim Brown",14911.46,1
"and Haley, Wheeler Ramos","Wendy Roberts",4091.41,1
"and Hall Adkins, Brown","Patricia Douglas",18804.12,1
"and Hall Austin Daniels,","Derrick Cross",6735.55,1
"and Hall Ayala Rubio,","Robert Palmer",38536.19,1
"and Hall Davis, Thomas","Catherine Parks",6378.41,1
"and Hall Garner Bailey,","Cynthia Savage",22935.39,1
"and Hall Green Smith,","Chelsea Cain",20630.96,1
"and Hall Gutierrez Walker,","Angela White",4366.99,1
"and Hall Heath, Morris","Patricia Sampson",19742.64,1
"and Hall Johnson, Brown","Stacy Davis",14542.33,1
"and Hall Levy Williams,","Ann Hernandez",35909.12,1
"and Hall Little Moon,","Maria Spencer",6549.17,1
"and Hall Liu, Adams","Zachary Garcia",27461.52,1
"and Hall Sanchez Valenzuela,","Stacy Clark",37347.49,1
"and Hall Silva, Moore","Helen Robinson",45756.02,1
"and Hall Smith, Farrell","Riley Kerr",13192.86,1
"and Hall Sons","Brittany Navarro",45391.50,1
"and Hall Thornton Lambert,","Isabella Alexander",14196.71,1
"and Hall Torres, Bailey","James Hudson",22012.90,1
"and Hall Velasquez Gordon,","Erika Fields",28430.53,1
"and Hall Wheeler, Fernandez","Morgan Murray",22290.89,1
"and Hall Williamson Oliver,","Sylvia Adams",44657.41,1
"and Hall, Butler Mccall","Jon Woods",71948.42,1
"and Hall, Henderson Johnson","Troy Arnold",38346.75,1
"and Hall, Henderson Jones","Loretta Johnson",50479.14,1
"and Hall, Johnson Haynes","Jimmy Garner",13088.66,1
"and Hall, Lewis Ramirez","Susan Phillips",16188.64,1
"and Hall, Malone Adams","Amy Johnson",56929.42,1
"and Hall, Miller Burnett","Christopher Simpson",13757.21,1
"and Hall, Roberts Cole","Alejandro Kim",45324.81,1
"and Hall, Robinson Perez","Kaitlin Castro",6729.63,1
"and Hall, Townsend Patrick","Kathryn Flowers",30336.78,1
"and Hall, Webb Meza","Denise Cain",33588.81,1
"and Hamilton Brown, Baldwin","April Welch",46772.79,1
"and Hamilton Foley, Charles","William Charles",5241.74,1
"and Hamilton Wallace, Kim","Janet Meadows",38949.06,1
"and Hamilton, Bell Sanchez","Karen Woods",26075.42,1
"and Hamilton, Burns Moore","Joanna Park",3705.25,1
"and Hamilton, Dixon Morales","Jeremy Chase",40970.36,1
"and Hammond Cruz Nguyen,","Lauren Sullivan",5336.99,1
"and Hammond Edwards Reyes,","Laura Snyder",8292.33,1
"and Hammond Garcia Larsen,","Jeffrey Campbell",11381.74,1
"and Hammond Smith Ramirez,","Carla Diaz",19601.93,1
"and Hammond, Davis Wright","Morgan Wallace",36028.62,1
"and Hancock Hill, Smith","Paul Odonnell",19612.78,1
"and Hancock, Long Rodriguez","David Robinson",19695.66,1
"and Hancock, Nelson Wilson","Mark Hamilton",3124.12,1
"and Hancock, Robertson Ortiz","Natalie Martinez",50306.49,1
"and Haney Mason Hodge,","Jon Trevino",43105.94,1
"and Hanna Thompson Page,","Dr. Steven Farmer",47022.78,1
"and Hansen Garcia Wise,","Kristin Clark",48407.45,1
"and Hansen Sosa, Weiss","Scott Booth",10604.28,1
"and Hansen, Smith Santiago","George Perez",5298.47,1
"and Hanson Sons","Tracy Miller",3659.81,1
"and Hanson, Rich Jennings","Samuel Adkins",32191.12,1
"and Hardin Buck, Weaver","Paul Castillo",31174.68,1
"and Hardy Harris, Mitchell","Dr. Christopher Sanders",89717.62,1
"and Hardy Morris, Reid","Jared Fowler",27723.93,1
"and Hardy, Sanchez Johnson","Justin Rodriguez",26321.90,1
"and Harmon Brown, Cabrera","Jamie Williamson",50081.13,1
"and Harmon Bruce Hernandez,","Scott Burns",23842.13,1
"and Harmon Ramirez, Perez","Mikayla Clark",8838.57,1
"and Harmon Sampson, Thompson","Kevin Gill",48834.14,1
"and Harmon Smith, Davis","Stephen Parsons",38654.20,1
"and Harmon, Willis Frey","Melissa Williams",20610.92,1
"and Harper Mcdonald, Sullivan","Jason Butler",52809.68,1
"and Harper Rivera Hays,","Stephen Gill",15088.81,1
"and Harper Sons","David Stevens",6252.08,1
"and Harper Sons","Glenn Olson",5993.23,2
"and Harrell, Sanford Barrett","Adam Campbell",32137.28,1
"and Harrell, Webb Moore","Donald Herrera",19550.98,1
"and Harrington Baldwin Sanders,","Daniel Mclean",47369.26,1
"and Harrington Warner Johnson,","Michael Andrews",22911.72,1
"and Harris Brewer, Young","Jared Rasmussen",20170.81,1
"and Harris Bridges Cherry,","Victoria Jones",27025.25,1
"and Harris Burton Richardson,","Teresa Rivera",1602.33,1
"and Harris Jones, Lopez","Michael Underwood",12484.71,1
"and Harris Maxwell Scott,","Jessica Walker",36112.59,1
"and Harris Miller, Hawkins","Nicole Singleton",8394.74,1
"and Harris Ortega Macias,","Daniel Williams",29662.44,1
"and Harris Pearson, Jenkins","Jimmy Williams",28003.10,1
"and Harris Roberts Russell,","Rachael Cummings",31742.92,1
"and Harris Sons","Michele Chang",49907.10,1
"and Harris Sons","Theresa Hoffman",47326.23,2
"and Harris Sons","Elizabeth Escobar",36120.80,3
"and Harris Thomas Smith,","Melissa Mccall",3928.56,1
"and Harris Underwood Hernandez,","John Cross",6202.07,1
"and Harris Velazquez Thompson,","Nathan Edwards",27508.09,1
"and Harris Wang, Clark","Kyle Anderson DDS",87649.32,1
"and Harris Williams Bernard,","John Ford",43111.49,1
"and Harris Wilson Pham,","Tracey Miller",24710.98,1
"and Harris, Drake Allen","Joseph Gonzalez",38816.68,1
"and Harris, Huang Travis","Michele Torres",31446.98,1
"and Harris, Morgan Wilkinson","Todd Ramirez",27978.22,1
"and Harrison Frank Silva,","Heather Smith",62834.84,1
"and Harrison Galvan, Shields","Lauren Hahn",39741.50,1
"and Harrison Stafford, Neal","Joshua Ward",22167.08,1
"and Harrison, Wood Burns","Charles Taylor",19941.41,1
"and Hart Browning Hill,","Darlene Wright",24192.13,1
"and Hart Buchanan, Hall","Glenn Sanders",6358.67,1
"and Hart Clark White,","Melissa Cobb",10905.44,1
"and Hart Schaefer Carlson,","Lisa Perez",34618.94,1
"and Hart Whitaker Lopez,","Nicole Palmer",33168.20,1
"and Hart, Miller Hines","Susan Scott",26036.08,1
"and Hart, Young Obrien","Teresa Doyle",30483.02,1
"and Hartman Payne Schultz,","Kenneth Lawson",92956.62,1
"and Hartman Williams Rose,","Nathan Moses",82008.22,1
"and Hartman, Miller Brown","Ann Chapman",98439.58,1
"and Hartman, Miller Ford","Ray Ruiz",39754.78,1
"and Harvey Reynolds Brooks,","Charles Johnson",11190.18,1
"and Harvey Watson Chambers,","Melissa Miller",13250.28,1
"and Harvey, Meyer Shaw","Terry Miller",33411.70,1
"and Hatfield Cobb Clark,","Nicole Rhodes",5355.41,1
"and Hatfield Mann, Strong","Jose Curtis",22690.60,1
"and Hatfield Taylor, Romero","Mark Walton",4169.24,1
"and Hawkins Bryant Fowler,","Aaron Bates",16675.85,1
"and Hawkins Sons","Richard Lawrence",47959.44,1
"and Hawkins Sons","Latoya Ortega",28715.45,2
"and Hawkins Sons","Tyler Griffin",15445.19,3
"and Hawkins, Ferguson Gomez","Sarah Cohen",29642.66,1
"and Hawkins, Jackson Charles","James Rodriguez",14581.19,1
"and Hawkins, Smith Montgomery","Carmen Mooney",21378.23,1
"and Hayden Sons","Carlos Perkins",28360.10,1
"and Hayes Delgado Lane,","Kevin Carson",20045.02,1
"and Hayes Hines, Williams","Melinda Robertson",9596.34,1
"and Hayes Jones Stone,","Joseph Phillips",15056.06,1
"and Hayes Rodriguez, Green","Juan Cook",17057.04,1
"and Hayes Williams Walker,","Dennis Spencer",45377.70,1
"and Hayes, Harris Cook","Jeremy Hall",23188.19,1
"and Haynes Gibbs, Griffin","Sarah Marshall",61822.56,1
"and Haynes, Jenkins Thompson","John Williams",13879.93,1
"and Heath May Hughes,","Caitlyn Barker",32164.88,1
"and Heath, Shannon Lin","Mrs. Patricia Morrison",41429.14,1
"and Heath, Smith Lewis","Patricia Boone",16517.79,1
"and Henderson Bauer Lee,","Amanda Thomas",30057.68,1
"and Henderson Choi Charles,","Julie Patton",36406.58,1
"and Henderson Gomez, Brown","Randy Munoz",44104.37,1
"and Henderson Kline Barnett,","Danielle Shields",35523.14,1
"and Henderson Mckay Johnson,","Joanne Griffin",3572.48,1
"and Henderson Oconnell Williams,","Shannon Mueller",27350.39,1
"and Henderson Perry, Cordova","Julie Peterson",37098.93,1
"and Henderson Salazar, Cooper","Jason Wilson",29389.72,1
"and Henderson Torres, Potter","Virginia Davis",4377.85,1
"and Henderson, Brandt Tucker","Christopher Gonzales",30349.33,1
"and Henderson, Rivera Barker","Stanley Mckenzie",42445.93,1
"and Hendricks Page Li,","Patricia Li DVM",21060.58,1
"and Hendricks, Davis Cole","Courtney Adams",24005.04,1
"and Henry Alexander Martinez,","James Peters PhD",5272.60,1
"and Henry Sons","Stephanie Silva",39571.99,1
"and Henry White Reid,","Amy Owens",49524.21,1
"and Henry, Brown Acosta","Denise Fernandez",40469.61,1
"and Henry, Oneill Montoya","Mary Kidd",29477.09,1
"and Hensley Alexander, Alvarez","Jonathan Ferrell",23345.53,1
"and Hensley, Monroe Mitchell","Shannon Brandt",16196.37,1
"and Henson Jefferson, Holder","Tammy Hogan",25185.49,1
"and Henson, Zamora Hart","Michelle Brooks",8589.06,1
"and Herman Williams Parker,","John Nunez",37751.09,1
"and Hernandez Acevedo, Thompson","Michelle Johnson",5901.61,1
"and Hernandez Cook Wilson,","Timothy Foster",38158.85,1
"and Hernandez Dennis Obrien,","Michael Smith",24436.97,1
"and Hernandez Dunlap Barnett,","Ronald Durham",16587.22,1
"and Hernandez Everett Mccullough,","Jessica Conrad",37912.41,1
"and Hernandez Farmer Clark,","Stephen Lewis",10919.51,1
"and Hernandez Gallegos Mitchell,","Kevin Roberts",2995.49,1
"and Hernandez Gray, Jones","Katie Davis",40219.95,1
"and Hernandez Harrison, Macdonald","Dylan Olsen",47866.37,1
"and Hernandez Jones Hubbard,","Maurice Martin",15099.09,1
"and Hernandez Lewis, Brown","Madison Reed",6901.95,1
"and Hernandez Long Adams,","Mrs. Amanda Martin",49603.33,1
"and Hernandez Mckinney Li,","Eric Beard",36923.54,1
"and Hernandez Mills, Harris","Sydney Patrick",6141.39,1
"and Hernandez Riggs, Diaz","Andrea Sweeney",46672.80,1
"and Hernandez Sons","Melissa Turner",59967.04,1
"and Hernandez Sons","Sandra Brown",8767.41,2
"and Hernandez Tate, Wilson","Joshua Kelly",32518.67,1
"and Hernandez Walker Hull,","Leon Hughes",901.13,1
"and Hernandez Wallace Frost,","Robert Jones",39434.23,1
"and Hernandez Waters, Cruz","Anthony Smith",43050.83,1
"and Hernandez Wiggins, Miller","Shane Perez",45658.06,1
"and Hernandez Willis, Burke","Mark Manning",29447.44,1
"and Hernandez, Combs Green","Lisa Anderson",10524.68,1
"and Hernandez, Fletcher Oneal","Shelley Campbell",49567.68,1
"and Hernandez, Flores Cook","Jessica Ortiz",3245.50,1
"and Hernandez, Garcia Parks","Garrett Kerr",5198.43,1
"and Hernandez, Hughes Walton","Cynthia Valencia",21022.91,1
"and Hernandez, Kelly Sanders","Randall Johnson",30206.95,1
"and Hernandez, Kline Hall","Rhonda Hernandez",43233.57,1
"and Hernandez, Lewis Collins","John Rowe",3039.46,1
"and Hernandez, Smith Snyder","Suzanne Heath",38499.80,1
"and Hernandez, Smith Wiley","Brianna Rodriguez",4654.33,1
"and Hernandez, Townsend Thompson","Susan Munoz",14553.60,1
"and Herrera Blackburn Harper,","Morgan Ford",7918.51,1
"and Herrera Jackson Gross,","Andrea Clark",26927.25,1
"and Herrera Torres Hudson,","Mrs. Deborah Martinez",47256.42,1
"and Herrera, Brown Gordon","Thomas Beck",3464.44,1
"and Herrera, Cain Weiss","Jerry Atkinson",44875.91,1
"and Herrera, Cox Higgins","Christian Mcpherson",18877.61,1
"and Herrera, Kramer Holmes","Lisa Miller",22718.79,1
"and Herrera, Miller Adkins","James Black",40798.19,1
"and Herring Clark, Dorsey","Larry Hernandez",47780.36,1
"and Herring Freeman, Tapia","Eric Harris",46434.14,1
"and Herring Rivera Newton,","Danielle Malone",25964.88,1
"and Hess Baxter, Thomas","Kaitlyn Sutton",4280.92,1
"and Hess Delgado Foster,","Amanda Hall",32535.45,1
"and Hess, Nguyen Everett","Lisa Davenport",6078.84,1
"and Hester Swanson, Glenn","Bradley Kelly",36877.53,1
"and Hickman Sons","Katherine Montgomery DVM",5022.52,1
"and Hicks Murray, Green","Omar Carter",20991.59,1
"and Hicks Pham, Cooley","Vincent Taylor",24258.48,1
"and Hicks Ray, Lloyd","Lance Garcia",21913.88,1
"and Hicks, Mathews Gilbert","Kimberly Conner",18907.85,1
"and Hicks, Walker Jordan","Omar Cruz",101307.34,1
"and Higgins Gray, Hurst","Melanie Strickland",10047.45,1
"and Higgins Mckay, Cruz","Sonya Miller",17338.25,1
"and Higgins Reese, Kirk","Christine Freeman",31281.98,1
"and Higgins Thompson Gaines,","Mrs. Latoya Wilson",18408.99,1
"and Hill Alvarez, Bridges","Kim Lee",12173.44,1
"and Hill Carter, Stout","James Wilson",44683.80,1
"and Hill Collins, Navarro","Hannah Mitchell",5097.34,1
"and Hill Lawson Saunders,","Michael Conway",6686.67,1
"and Hill Page Williams,","Lisa Anderson",89986.82,1
"and Hill Ramirez Hart,","Emily Pearson",44259.35,1
"and Hill Rios, Taylor","Brian Keller",2459.19,1
"and Hill Rodgers Pearson,","George Arellano",35845.48,1
"and Hill Sons","Anne Collins",16307.44,1
"and Hill Taylor Lee,","Anthony Wright",24066.69,1
"and Hill Watson Dennis,","Christine Mckinney",20214.91,1
"and Hill, Guerrero Perry","Tracy Reynolds",13799.70,1
"and Hines Gibson, Fritz","Julie Petersen",28906.81,1
"and Hines Sons","Cody Best",36984.60,1
"and Hines, Baker Hamilton","Holly Pugh",17346.14,1
"and Hobbs Jensen Johnson,","Adam Frazier",14551.56,1
"and Hobbs Rice, Miller","Margaret Rice",9075.70,1
"and Hobbs Sons","Jill Lee DVM",19943.35,1
"and Hobbs Warren Bird,","Tanya Conrad",43874.48,1
"and Hodge Sons","Travis Green",40956.37,1
"and Hodge, Stephenson Jones","Nicholas Garza",35432.62,1
"and Hodges Foley Garcia,","Katie West",47558.09,1
"and Hoffman Blake Hernandez,","Julian Lawrence",7183.54,1
"and Hoffman Bowman Lee,","Laurie Bradley",25725.51,1
"and Hoffman, Christian Hunt","Patrick Murray",3176.66,1
"and Hogan, Walker Murphy","Craig Mccarthy DVM",24281.26,1
"and Holland Aguilar, Jackson","Yolanda Holland",38984.70,1
"and Holland Sons","Terry Morris",46948.22,1
"and Holland Sons","Kevin Jenkins",23726.40,2
"and Holland Steele Ramsey,","Dana Harper",23283.68,1
"and Holland Watkins Copeland,","Bruce Torres Jr.",96365.44,1
"and Holland, White Collins","Linda Pineda",43392.58,1
"and Holloway Davis, Winters","Steven Martinez",12705.14,1
"and Holloway Jimenez, Massey","Donald Goodwin",16764.52,1
"and Holloway Robinson, Peterson","Lawrence May",1644.11,1
"and Holloway Sons","Linda Hubbard",14681.08,1
"and Holloway, Collins Marsh","Gregory Pena",7081.85,1
"and Holmes Fowler, Davis","Kristin Fox",99446.94,1
"and Holmes Krause, Goodman","Charles Martinez",43276.82,1
"and Holmes Mcbride Landry,","Scott Hunter",44255.31,1
